"","L-asparagine","L-aspartate","benzoate","erythritol","GDP-beta;-L-fucose","fumarate","glucose_6_phosphate","L-glutamate","glycerol","inositol","L-isoleucine","L-lysine","GDP-alpha;-D-mannose","L-phenylalanine","phosphate","threonate","L-tryptophan","L-tyrosine"
"L-asparagine",0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
"L-aspartate",1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"benzoate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"erythritol",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GDP-beta;-L-fucose",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"glucose_6_phosphate",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-glutamate",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inositol",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-isoleucine",1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
"L-lysine",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"L-phenylalanine",1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
"phosphate",0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1
"threonate",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
"L-tryptophan",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"L-tyrosine",1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
