"","2-oxoglutarate","alpha;-tocopherol","erythritol","D-gluconate","glucose_6_phosphate","L-isoleucine","(S)-malate","maltitol","L-methionine","L-phenylalanine","putrescine","saccharate","L-serine","threonate","alpha;,alpha;-trehalose","L-tryptophan","uracil","phosphate"
"2-oxoglutarate",0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"erythritol",0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
"D-gluconate",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"glucose_6_phosphate",1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1
"L-isoleucine",1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1
"(S)-malate",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maltitol",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"L-methionine",1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1
"L-phenylalanine",1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"saccharate",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"L-serine",0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1
"threonate",0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0
"alpha;,alpha;-trehalose",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"L-tryptophan",0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
"uracil",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"phosphate",1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0
