"","L-asparagine","L-aspartate","alpha;-tocopherol","gaba","erythritol","glucose","L-glutamine","glycerol","glycine","L-isoleucine","L-lysine","maltose","L-phenylalanine","phosphate","putrescine","L-tryptophan"
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"alpha;-tocopherol",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"gaba",0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"erythritol",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"glucose",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"L-glutamine",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycine",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"L-isoleucine",0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
"L-lysine",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"maltose",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-phenylalanine",0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
"phosphate",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-tryptophan",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
