"","L-arginine","L-aspartate","2-oxoglutarate","dehydroascorbate (bicyclic form)","fructose","GDP-beta;-L-fucose","fumarate","galactose","UDP-alpha;-D-galacturonate","inositol","L-isoleucine","L-lysine","L-methionine","succinate","sucrose","alpha;,alpha;-trehalose"
"L-arginine",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"L-aspartate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2-oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dehydroascorbate (bicyclic form)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
"fructose",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"galactose",0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"UDP-alpha;-D-galacturonate",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"inositol",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"L-isoleucine",1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"L-lysine",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"L-methionine",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"succinate",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"sucrose",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"alpha;,alpha;-trehalose",0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
