"","L-alanine","L-asparagine","alpha;-tocopherol","L-cysteine","dehydroascorbate (bicyclic form)","erythritol","glycerol","glycine","L-methionine","L-phenylalanine","shikimate","succinate","threonate","alpha;,alpha;-trehalose","L-tyrosine","fructose","L-glutamine","D-threo-isocitrate"
"L-alanine",0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
"L-asparagine",0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"L-cysteine",0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1
"dehydroascorbate (bicyclic form)",0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"erythritol",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"glycerol",0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0
"glycine",1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0
"L-methionine",1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
"L-phenylalanine",1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
"shikimate",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"succinate",1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"threonate",0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"L-tyrosine",0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0
"fructose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"L-glutamine",0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0
"D-threo-isocitrate",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
