"","L-arginine","L-asparagine","benzoate","glucose_6_phosphate","Glycerate_3_Phosphate","glycine","L-methionine","L-phenylalanine","putrescine","threonate","uracil","L-aspartate","fructose","L-glutamate","phosphate"
"L-arginine",0,1,1,1,0,1,1,1,0,1,0,1,0,1,1
"L-asparagine",1,0,1,1,0,1,1,1,0,1,1,1,0,1,1
"benzoate",1,1,0,1,0,1,1,0,0,0,1,0,0,0,0
"glucose_6_phosphate",1,1,1,0,0,1,1,1,0,0,1,1,0,0,1
"Glycerate_3_Phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"glycine",1,1,1,1,0,0,1,1,0,1,0,0,0,0,1
"L-methionine",1,1,1,1,0,1,0,1,0,1,0,1,0,1,1
"L-phenylalanine",1,1,0,1,0,1,1,0,0,1,0,1,0,1,1
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"threonate",1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"uracil",0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"L-aspartate",1,1,0,1,0,0,1,1,0,0,0,0,0,1,1
"fructose",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"L-glutamate",1,1,0,0,0,0,1,1,0,0,0,1,0,0,1
"phosphate",1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
