"","L-arginine","beta;-alanine","fumarate","inositol","L-isoleucine","maltose","L-methionine","L-phenylalanine","L-serine","L-aspartate","fructose","glucose","L-glutamine","GDP-alpha;-D-mannose"
"L-arginine",0,1,0,0,1,0,1,1,1,1,0,0,1,0
"beta;-alanine",1,0,0,0,1,0,1,1,1,1,0,0,1,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inositol",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"L-isoleucine",1,1,0,0,0,0,1,1,1,1,0,0,1,0
"maltose",0,0,0,1,0,0,0,0,0,0,1,0,0,0
"L-methionine",1,1,0,0,1,0,0,1,1,1,0,0,1,0
"L-phenylalanine",1,1,0,0,1,0,1,0,1,1,0,0,1,0
"L-serine",1,1,0,0,1,0,1,1,0,0,0,0,1,0
"L-aspartate",1,1,0,0,1,0,1,1,0,0,0,0,1,0
"fructose",0,0,0,1,0,1,0,0,0,0,0,1,0,1
"glucose",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"L-glutamine",1,1,0,0,1,0,1,1,1,1,0,0,0,0
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,0,1,1,0,0
