"","L-asparagine","L-aspartate","alpha;-tocopherol","fructose","fumarate","gaba","D-threo-isocitrate","L-isoleucine","L-leucine","maltitol","L-methionine","putrescine","sucrose"
"L-asparagine",0,1,0,1,0,0,0,1,0,0,1,0,0
"L-aspartate",1,0,0,0,0,0,0,1,1,0,0,0,0
"alpha;-tocopherol",0,0,0,1,0,0,0,0,0,0,0,0,1
"fructose",1,0,1,0,0,1,0,0,0,0,0,0,1
"fumarate",0,0,0,0,0,0,0,0,1,0,0,0,0
"gaba",0,0,0,1,0,0,1,1,0,0,0,1,1
"D-threo-isocitrate",0,0,0,0,0,1,0,0,0,0,0,0,0
"L-isoleucine",1,1,0,0,0,1,0,0,1,0,1,0,0
"L-leucine",0,1,0,0,1,0,0,1,0,0,1,0,0
"maltitol",0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",1,0,0,0,0,0,0,1,1,0,0,0,0
"putrescine",0,0,0,0,0,1,0,0,0,0,0,0,0
"sucrose",0,0,1,1,0,1,0,0,0,0,0,0,0
