"","L-asparagine","L-cysteine","glucose_6_phosphate","Glycerate_3_Phosphate","glycine","L-isoleucine","maltose","L-methionine","putrescine","sucrose","threonate","L-threonine","fructose","D-threo-isocitrate","phosphate"
"L-asparagine",0,1,1,0,1,1,0,1,0,0,1,1,0,1,1
"L-cysteine",1,0,1,0,1,1,0,1,0,1,1,1,0,1,1
"glucose_6_phosphate",1,1,0,0,1,1,1,1,0,0,0,1,0,0,1
"Glycerate_3_Phosphate",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"glycine",1,1,1,0,0,1,0,1,0,0,1,1,0,0,1
"L-isoleucine",1,1,1,0,1,0,0,1,0,1,1,1,0,0,1
"maltose",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"L-methionine",1,1,1,0,1,1,0,0,0,0,1,1,0,0,1
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"sucrose",0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"threonate",1,1,0,0,1,1,0,1,0,0,0,1,0,1,0
"L-threonine",1,1,1,0,1,1,0,1,0,0,1,0,0,1,1
"fructose",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"D-threo-isocitrate",1,1,0,0,0,0,0,0,0,1,1,1,1,0,0
"phosphate",1,1,1,1,1,1,0,1,1,0,0,1,0,0,0
