"","alpha;-tocopherol","benzoate","beta;-alanine","erythritol","GDP-beta;-L-fucose","fumarate","galactose","UDP-alpha;-D-galacturonate","D-gluconate","glucose_6_phosphate","inositol","L-isoleucine","maltitol","L-methionine","saccharate","L-serine","threonate"
"alpha;-tocopherol",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
"benzoate",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"beta;-alanine",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"erythritol",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GDP-beta;-L-fucose",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"fumarate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"galactose",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-gluconate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"inositol",1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
"L-isoleucine",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"maltitol",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"L-methionine",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
"saccharate",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"L-serine",0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
"threonate",1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
