"","L-arginine","L-asparagine","L-aspartate","benzoate","fructose","glucose_6_phosphate","L-glutamate","glycerate_3_phosphate","glycine","L-methionine","L-phenylalanine","phosphate","putrescine","threonate","uracil"
"L-arginine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"benzoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fructose",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"L-glutamate",0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
"glycerate_3_phosphate",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"glycine",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"L-methionine",0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
"L-phenylalanine",0,0,1,0,1,1,1,1,0,1,0,1,0,1,0
"phosphate",0,0,1,0,0,0,1,1,1,1,1,0,0,1,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"threonate",0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
"uracil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
