"","L-arginine","L-asparagine","alpha;-tocopherol","benzoate","citrate","L-cysteine","GDP-beta;-L-fucose","fumarate","UDP-alpha;-D-galacturonate","D-gluconate","inositol","L-phenylalanine","shikimate","sucrose","threonate","alpha;,alpha;-trehalose","L-tyrosine","L-valine"
"L-arginine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alpha;-tocopherol",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"benzoate",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"citrate",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
"L-cysteine",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
"GDP-beta;-L-fucose",0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"fumarate",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-gluconate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"inositol",0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1
"L-phenylalanine",0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sucrose",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"threonate",0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"L-tyrosine",0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1
"L-valine",0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
