"","L-asparagine","L-aspartate","benzoate","erythritol","GDP-beta;-L-fucose","fumarate","glucose_6_phosphate","L-glutamate","glycerol","inositol","L-isoleucine","L-lysine","GDP-alpha;-D-mannose","L-phenylalanine","phosphate","threonate","L-tryptophan","L-tyrosine"
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1
"benzoate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"erythritol",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"GDP-beta;-L-fucose",0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"fumarate",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"L-glutamate",0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inositol",0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1
"L-isoleucine",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"L-lysine",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"L-phenylalanine",0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1
"phosphate",0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
"threonate",0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1
"L-tryptophan",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"L-tyrosine",0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0
